x_1,x_2,x_3,y
0.013,0.032,-0.041,0.000
0.007,0.034,0.068,0.000
0.253,0.318,0.152,1.000
0.225,0.151,0.215,1.000
0.208,0.140,0.171,1.000
0.035,0.236,0.060,1.000
-0.016,-0.003,-0.015,0.000
0.099,0.180,0.269,1.000
-0.043,0.041,-0.062,0.000
0.455,0.238,0.235,1.000
-0.061,0.001,-0.003,0.000
0.022,0.051,0.035,0.000
0.007,0.037,0.005,0.000
0.073,0.256,0.208,1.000
0.072,0.254,0.150,1.000
-0.011,0.038,-0.059,0.000
0.004,-0.046,0.009,0.000
0.097,0.239,0.277,1.000
0.267,0.173,0.178,1.000
-0.022,0.005,0.011,0.000
-0.042,0.026,0.077,0.000
-0.041,-0.011,0.085,0.000
-0.067,0.015,-0.030,0.000
0.228,0.108,0.240,1.000
0.132,0.218,0.177,1.000
0.082,0.000,0.045,0.000
0.366,0.173,0.217,1.000
0.220,0.160,0.218,1.000
0.178,0.223,0.183,1.000
0.408,0.209,0.143,1.000
0.074,-0.017,0.058,0.000
-0.045,0.024,-0.002,0.000
0.264,0.223,0.173,1.000
0.188,0.244,0.292,1.000
0.117,0.184,0.182,1.000
0.319,0.208,0.233,1.000
-0.033,0.059,0.003,0.000
-0.050,-0.025,0.118,0.000
-0.023,0.018,0.021,0.000
0.025,-0.037,-0.021,0.000
0.055,-0.002,-0.112,0.000
0.092,0.029,0.024,0.000
0.172,0.176,0.194,1.000
0.191,0.132,0.131,1.000
0.054,-0.055,-0.056,0.000
0.244,0.150,0.237,1.000
-0.021,0.038,0.014,0.000
0.034,0.003,-0.025,0.000
0.194,0.162,0.201,1.000
0.175,0.261,0.191,1.000
0.097,-0.002,-0.007,0.000
0.195,0.131,0.135,1.000
0.053,0.317,0.262,1.000
0.006,0.013,0.029,0.000
0.398,0.197,0.231,1.000
0.003,-0.012,0.020,0.000
0.203,0.213,0.210,1.000
0.006,0.176,0.196,1.000
0.342,0.268,0.106,1.000
0.274,0.208,0.276,1.000
0.031,0.040,-0.060,0.000
-0.092,-0.049,-0.022,0.000
0.027,0.185,0.197,1.000
0.381,0.160,0.222,1.000
0.108,0.253,0.286,1.000
0.081,0.193,0.217,1.000
0.011,0.002,0.039,0.000
0.119,0.189,0.176,1.000
0.072,-0.022,-0.003,0.000
-0.036,-0.007,-0.042,0.000
0.083,-0.062,0.057,0.000
0.084,0.219,0.160,1.000
0.198,0.291,0.259,1.000
0.234,0.217,0.164,1.000
0.407,0.216,0.171,1.000
0.008,-0.003,-0.011,0.000
0.273,0.158,0.233,1.000
-0.022,0.030,-0.026,0.000
0.236,0.241,0.144,1.000
-0.081,-0.019,-0.062,0.000
0.161,0.186,0.220,1.000
0.235,0.249,0.163,1.000
0.117,0.160,0.199,1.000
-0.058,0.016,-0.034,0.000
-0.009,-0.030,0.031,0.000
0.411,0.211,0.119,1.000
0.070,-0.066,0.019,0.000
0.291,0.276,0.145,1.000
0.101,0.021,-0.043,0.000
-0.087,0.067,-0.005,0.000
0.202,0.179,0.140,1.000
-0.036,-0.013,0.032,0.000
-0.054,-0.057,-0.034,0.000
-0.049,0.058,-0.006,0.000
-0.013,0.097,-0.067,0.000
-0.013,-0.015,-0.059,0.000
0.288,0.130,0.258,1.000
-0.011,0.060,-0.043,0.000
0.048,0.040,0.039,0.000
-0.119,-0.004,0.073,0.000
-0.074,-0.021,0.150,0.000
0.482,0.218,0.200,1.000
0.027,-0.041,-0.003,0.000
0.304,0.191,0.147,1.000
0.076,0.032,0.086,0.000
0.325,0.228,0.141,1.000
0.014,-0.017,0.009,0.000
0.232,0.159,0.250,1.000
0.142,0.275,0.261,1.000
-0.109,0.050,-0.027,0.000
-0.001,-0.100,0.020,0.000
