x_1,x_2,y
1.049,-0.053,-0.006
0.959,0.063,-0.045
0.989,-0.083,0.005
0.952,0.022,-0.068
1.016,-0.010,-0.071
0.987,-0.023,-0.022
0.994,-0.017,-0.024
0.985,-0.002,0.013
1.012,0.028,0.014
1.044,-0.030,0.040
0.936,0.039,-0.041
0.923,-0.042,0.049
0.992,-0.048,0.084
1.042,-0.009,-0.017
1.063,0.016,0.001
0.934,0.022,0.014
0.960,0.006,-0.034
0.999,-0.019,0.066
1.070,-0.033,0.008
0.985,0.044,0.045
1.009,0.006,0.027
1.051,-0.006,-0.014
1.064,-0.037,0.123
0.961,0.009,0.073
1.130,0.038,0.068
0.984,-0.053,-0.001
1.037,-0.026,-0.012
1.080,0.050,0.030
1.009,0.072,0.006
0.973,0.021,0.116
0.913,0.081,0.013
0.956,0.031,0.028
0.972,-0.003,0.030
0.993,-0.078,-0.037
1.031,0.081,0.023
1.017,-0.037,0.078
1.054,-0.055,0.019
0.992,-0.023,-0.012
0.955,-0.055,0.016
1.094,0.057,-0.052
1.023,-0.065,0.019
0.988,-0.030,-0.117
1.007,0.045,0.096
1.008,0.034,0.043
1.001,0.019,0.138
1.009,0.013,-0.016
1.021,0.013,0.062
0.966,-0.014,0.049
0.981,-0.043,0.040
0.988,0.057,0.031
1.021,-0.006,0.047
1.048,0.009,0.044
0.954,-0.033,0.130
1.116,-0.005,0.023
0.996,0.025,0.050
1.078,0.028,0.068
0.995,-0.026,0.095
0.994,-0.022,0.152
1.061,0.038,0.159
0.954,-0.008,0.105
0.970,0.039,0.093
0.869,0.044,0.081
0.966,-0.052,0.062
1.028,-0.023,0.050
1.065,-0.005,0.065
0.980,0.040,0.082
1.040,-0.009,0.043
1.025,-0.047,0.144
0.976,0.004,0.032
1.003,-0.004,0.072
1.023,-0.043,0.045
1.013,0.029,0.087
0.993,-0.001,0.119
1.083,-0.053,0.063
1.032,0.022,0.072
1.041,0.004,0.067
1.010,0.065,0.108
0.949,-0.018,0.094
1.080,0.044,0.106
0.972,-0.052,0.106
1.077,-0.034,0.054
0.943,-0.032,0.124
1.001,0.092,0.055
0.995,0.011,0.056
1.025,0.028,0.130
1.015,0.054,0.060
0.965,0.055,0.071
1.080,-0.032,0.073
1.083,-0.078,0.161
1.056,-0.020,0.105
0.970,0.028,0.045
0.950,0.022,0.030
1.010,0.007,0.058
0.998,0.107,0.023
0.965,0.038,0.037
0.937,0.040,0.102
1.016,0.031,0.033
0.911,0.021,0.062
0.989,-0.024,0.106
1.051,0.068,0.150
0.933,0.066,0.079
1.046,0.035,0.069
0.998,-0.027,0.155
1.010,-0.030,0.015
0.873,-0.086,0.124
0.948,-0.067,0.092
1.033,0.048,0.117
1.006,-0.063,0.194
1.026,0.027,0.048
0.903,-0.050,0.105
0.989,0.053,0.073
0.934,-0.070,0.072
1.005,-0.063,0.139
0.968,-0.020,0.177
1.012,0.042,0.124
0.957,-0.003,0.092
1.101,0.085,0.071
0.988,-0.021,0.156
1.025,0.082,0.172
1.044,-0.132,0.150
1.008,0.039,0.202
1.007,0.023,0.159
1.014,-0.084,0.156
1.029,0.069,0.142
0.973,0.041,0.126
0.937,-0.021,0.092
0.956,-0.033,0.091
1.043,-0.050,0.036
1.067,0.027,0.127
1.037,0.046,0.154
0.987,0.001,0.119
0.977,-0.057,0.227
0.967,0.027,0.219
1.009,-0.032,0.118
1.056,-0.007,0.141
1.018,0.010,0.060
1.063,-0.015,0.095
1.031,-0.016,0.094
0.969,0.028,0.056
0.986,-0.029,0.040
1.108,0.009,0.147
1.009,0.046,0.145
1.073,0.038,0.219
1.105,0.107,0.260
1.084,0.126,0.167
1.038,0.045,0.011
0.997,0.037,0.186
1.009,-0.039,0.243
1.015,0.052,0.067
0.963,-0.061,0.171
1.020,-0.005,0.175
0.970,0.027,0.236
0.953,0.005,0.105
1.113,0.080,0.031
1.020,0.011,0.129
0.969,-0.005,0.190
1.008,0.009,0.213
1.067,-0.051,0.195
0.995,0.001,0.152
0.961,0.078,0.158
0.979,0.067,0.145
1.018,-0.046,0.197
1.105,0.139,0.126
1.015,0.069,0.141
1.035,-0.026,0.224
1.013,0.040,0.116
1.048,0.024,0.154
0.926,-0.002,0.203
0.980,0.006,0.193
1.020,-0.003,0.152
1.062,0.002,0.145
1.024,0.058,0.217
0.983,-0.102,0.104
1.030,0.107,0.194
0.866,-0.029,0.177
1.001,-0.027,0.179
1.010,0.013,0.127
1.037,0.087,0.097
1.015,-0.111,0.214
1.018,-0.023,0.222
1.077,-0.029,0.254
1.027,0.081,0.188
0.979,0.022,0.218
0.968,-0.036,0.147
1.004,-0.024,0.113
0.992,0.091,0.237
0.929,-0.024,0.132
1.029,-0.051,0.169
0.975,0.150,0.203
1.034,0.016,0.258
1.023,-0.101,0.211
0.921,0.102,0.189
0.948,0.045,0.119
1.068,0.047,0.184
1.095,-0.072,0.244
0.991,0.066,0.158
0.988,0.013,0.130
1.071,0.001,0.267
0.994,0.019,0.198
0.966,-0.034,0.198
0.982,-0.049,0.169
1.045,0.034,0.243
1.045,0.035,0.114
0.929,0.039,0.178
1.002,-0.079,0.193
1.082,0.081,0.172
0.965,0.026,0.133
1.039,0.041,0.174
1.094,0.067,0.158
1.056,0.004,0.214
1.106,0.096,0.194
0.988,0.073,0.244
0.993,0.011,0.297
0.955,-0.045,0.171
0.934,-0.011,0.209
1.041,-0.063,0.208
0.982,0.080,0.172
1.020,0.020,0.200
1.010,-0.006,0.297
0.975,0.067,0.267
0.965,0.050,0.150
1.064,0.011,0.208
1.095,-0.051,0.236
1.000,-0.027,0.207
1.043,-0.031,0.229
0.975,0.022,0.148
0.980,-0.047,0.136
0.996,-0.020,0.224
1.085,0.028,0.258
1.115,0.024,0.208
1.026,0.038,0.157
1.055,0.037,0.257
1.000,-0.015,0.195
1.039,0.039,0.215
1.055,-0.050,0.248
1.056,0.026,0.350
1.010,-0.032,0.177
0.999,-0.042,0.266
1.097,0.002,0.185
1.029,0.024,0.319
0.911,0.144,0.153
1.022,-0.083,0.145
1.027,0.030,0.235
1.052,-0.038,0.273
1.032,0.002,0.254
1.010,0.039,0.242
1.047,-0.028,0.173
1.002,0.068,0.280
1.031,0.016,0.312
1.052,0.055,0.308
0.975,-0.014,0.266
0.935,0.012,0.229
1.060,-0.002,0.199
1.048,-0.011,0.268
1.001,0.025,0.275
0.840,-0.049,0.193
0.959,-0.055,0.211
1.040,-0.058,0.327
0.975,-0.061,0.319
1.042,-0.001,0.213
0.989,0.085,0.321
0.971,-0.009,0.312
1.036,-0.029,0.241
1.030,0.046,0.280
1.052,0.036,0.250
0.948,0.043,0.282
1.035,-0.025,0.155
1.043,0.021,0.185
0.952,-0.026,0.252
1.031,0.113,0.252
1.034,0.054,0.301
1.029,-0.004,0.269
1.004,0.023,0.335
1.069,0.097,0.232
1.009,-0.027,0.333
1.037,0.002,0.279
1.027,0.049,0.202
1.016,-0.015,0.233
0.966,-0.038,0.294
1.003,0.027,0.295
0.990,0.020,0.305
1.052,-0.082,0.332
1.090,0.033,0.251
1.048,-0.099,0.378
0.934,0.012,0.372
0.899,-0.009,0.366
1.041,0.032,0.274
1.030,0.078,0.260
1.087,-0.030,0.319
1.003,0.022,0.282
0.973,0.117,0.240
1.008,0.044,0.287
1.071,0.019,0.224
0.945,-0.064,0.188
1.050,0.034,0.291
1.053,0.021,0.419
1.053,-0.023,0.250
1.049,-0.015,0.297
1.032,-0.007,0.212
1.010,0.040,0.283
1.013,-0.023,0.388
0.978,0.013,0.272
1.116,0.019,0.266
1.054,0.009,0.291
1.040,0.022,0.373
1.064,-0.036,0.269
0.927,-0.019,0.344
1.032,0.056,0.362
0.957,-0.050,0.293
0.983,-0.063,0.279
1.038,-0.037,0.286
0.985,0.008,0.307
1.005,0.058,0.231
1.081,0.018,0.241
1.028,0.056,0.312
1.006,0.014,0.387
0.959,0.075,0.282
1.044,-0.007,0.389
1.025,0.081,0.259
1.108,0.014,0.199
1.032,-0.024,0.369
1.052,-0.046,0.284
0.992,-0.021,0.289
1.017,-0.012,0.338
0.997,-0.092,0.293
1.128,0.044,0.314
0.990,0.046,0.350
1.038,-0.001,0.373
0.972,-0.021,0.308
0.983,0.020,0.362
1.049,-0.073,0.236
1.027,0.039,0.250
1.008,-0.008,0.355
1.009,0.031,0.387
1.075,-0.022,0.359
1.061,-0.115,0.314
0.985,0.043,0.303
1.025,0.033,0.397
0.973,0.007,0.314
1.052,-0.011,0.318
1.005,-0.070,0.336
1.070,0.132,0.330
1.119,0.112,0.383
0.990,0.130,0.365
0.940,0.069,0.310
1.035,0.047,0.359
0.998,0.042,0.316
1.025,-0.005,0.344
0.991,-0.020,0.340
1.040,0.083,0.330
0.963,0.029,0.350
1.058,0.033,0.325
0.905,-0.041,0.464
1.040,-0.021,0.442
1.087,-0.057,0.332
1.033,0.074,0.391
1.023,-0.008,0.391
0.960,-0.040,0.295
0.897,0.112,0.375
1.054,-0.005,0.377
0.994,0.007,0.327
1.058,0.078,0.388
1.076,0.094,0.328
0.951,0.020,0.385
1.103,0.034,0.365
0.925,-0.042,0.382
1.037,0.022,0.304
0.987,-0.026,0.389
1.082,-0.045,0.359
1.014,0.022,0.337
0.912,0.010,0.407
0.969,0.004,0.351
1.031,0.006,0.332
1.002,0.073,0.425
0.990,0.034,0.356
1.027,0.072,0.391
1.076,0.106,0.344
1.044,0.031,0.388
1.061,0.017,0.348
1.044,0.003,0.334
0.980,0.042,0.342
0.986,0.011,0.384
0.975,0.042,0.434
0.989,0.018,0.327
0.955,0.019,0.382
0.969,0.033,0.392
1.082,-0.060,0.386
1.112,0.005,0.277
1.051,-0.052,0.473
1.064,0.061,0.432
1.009,0.024,0.388
1.073,0.098,0.361
1.119,0.069,0.397
0.971,-0.010,0.347
1.015,0.035,0.381
0.991,0.064,0.451
1.029,-0.046,0.415
1.007,0.030,0.399
0.972,-0.048,0.397
0.989,0.014,0.440
0.982,-0.047,0.425
0.998,0.083,0.352
1.063,0.022,0.419
0.968,0.041,0.288
0.976,-0.009,0.398
0.948,0.023,0.416
1.020,0.041,0.395
0.953,0.009,0.426
0.983,0.015,0.384
0.981,-0.055,0.470
1.073,0.029,0.469
0.992,-0.048,0.441
0.980,0.070,0.369
1.012,-0.025,0.447
1.065,0.071,0.394
1.006,0.071,0.424
0.948,0.028,0.465
1.019,0.009,0.375
1.076,0.075,0.476
1.120,-0.009,0.455
